Item_Identifier,Item_Weight
FDA15,9.3
DRC01,5.92
FDN15,17.5
FDX07,19.2
NCD19,8.93
FDP36,10.395
FDO10,13.65
FDH17,16.2
FDU28,19.2
FDY07,11.8
FDA03,18.5
FDX32,15.1
FDS46,17.6
FDF32,16.35
FDP49,9.0
NCB42,11.8
FDU02,13.35
FDN22,18.85
NCB30,14.6
FDR28,13.85
NCD06,13.0
FDV10,7.645
DRJ59,11.65
FDE51,5.925
FDV38,19.25
NCS17,18.6
FDP33,18.7
FDO23,17.85
DRH01,17.5
NCX29,10.0
DRZ11,8.85
FDK43,9.8
FDA46,13.6
FDC02,21.35
FDL50,12.15
FDM39,6.42
NCP05,19.6
FDV49,10.0
FDL12,15.85
NCL17,7.39
FDM40,10.195
FDR13,9.895
FDA43,10.895
NCP18,12.15
FDK21,7.905
NCX54,9.195
DRK35,8.365
FDY21,15.1
FDM20,10.0
FDV27,7.97
FDC46,17.7
FDH19,19.35
FDZ03,13.65
DRH37,17.6
NCI17,8.645
FDJ58,15.6
FDH35,18.25
FDG02,7.855
NCZ18,7.825
FDC29,8.39
FDQ10,12.85
FDL04,19.0
FDV25,5.905
FDD58,7.76
FDN04,11.8
FDV45,16.75
FDG20,15.5
FDZ55,6.055
FDN33,6.305
FDN27,20.85
FDW20,20.75
DRG27,8.895
DRI25,19.6
FDA44,19.7
NCR17,9.8
FDF41,12.15
FDB56,8.75
FDT28,13.3
FDW57,8.31
DRB48,16.75
FDP09,19.75
FDH14,17.1
FDA47,10.5
FDG12,6.635
DRK49,14.15
FDD03,13.3
FDS52,8.89
FDV11,9.1
FDD17,7.5
FDZ16,16.85
FDZ46,7.485
DRA12,11.6
FDY58,11.65
NCF19,13.0
DRJ13,12.65
FDB14,20.25
FDJ38,8.6
FDW11,12.6
FDL40,17.7
DRI49,14.15
DRG23,8.88
NCP30,20.5
NCH54,13.5
NCO26,7.235
FDB51,6.92
FDX44,9.3
NCN07,18.5
NCC31,8.02
NCO55,12.8
NCC30,16.6
FDI16,14.0
FDP16,18.6
FDB11,16.0
NCB06,17.6
FDA45,21.25
DRJ25,14.6
FDI04,13.65
FDX20,7.365
NCI18,18.35
FDB36,5.465
FDN13,18.6
DRD24,13.85
FDQ28,14.0
FDM22,14.0
DRF49,7.27
FDW51,6.155
DRL01,19.5
FDP25,15.2
NCM43,14.5
FDK44,16.6
FDM15,11.8
FDS31,13.1
FDI32,17.7
FDR47,17.85
FDB35,12.3
NCU05,11.8
FDO24,11.1
FDV39,11.3
FDU50,5.75
FDK58,11.35
NCW29,14.0
FDE04,19.75
NCB19,6.525
FDV15,10.3
FDL58,5.78
FDA08,11.85
FDT43,16.35
FDT20,10.5
FDB41,19.0
NCN55,14.6
NCM53,18.75
FDE36,5.26
FDN57,18.25
FDI19,15.1
FDF24,15.5
FDG52,13.65
DRF36,16.1
FDX40,12.85
DRK12,9.5
DRC27,13.8
NCD30,19.7
NCZ54,14.65
FDE10,6.67
FDR44,6.11
FDP28,13.65
FDX15,17.2
FDA39,6.32
FDY24,4.88
FDC60,5.425
FDH28,15.85
FDT25,7.5
FDS49,9.0
FDL56,14.1
FDF14,7.55
NCR38,17.25
NCR18,15.85
NCU41,18.85
FDY56,16.35
DRJ51,14.1
FDY25,12.0
FDU44,12.15
FDL43,10.1
FDF05,17.5
FDL20,17.1
FDV32,7.785
FDJ34,11.8
FDG08,13.15
FDW13,8.5
FDY03,17.6
FDS12,9.1
FDJ55,12.8
DRK01,7.63
FDG28,9.285
FDY38,13.6
FDN01,8.895
NCR54,16.35
FDG29,17.6
FDG24,7.975
FDG59,15.85
FDM28,15.7
FDW04,8.985
FDS26,20.35
FDQ56,6.59
FDK51,19.85
FDL22,16.85
FDY55,16.75
FDZ32,7.785
DRE49,20.75
FDT39,6.26
FDE08,18.2
FDB57,20.25
NCT54,8.695
FDF20,12.85
FDH27,7.075
FDY59,8.195
FDK36,7.09
NCM31,6.095
FDE33,19.35
FDU36,6.15
NCQ54,17.7
DRE60,9.395
DRP47,15.75
FDB21,7.475
FDR04,7.075
FDX23,6.445
FDX19,19.1
FDD40,20.25
FDA01,15.0
FDS33,6.67
FDB29,16.7
FDF46,7.07
FDA33,6.48
FDC08,19.0
FDB53,13.35
FDX36,9.695
DRD13,15.0
FDC52,11.15
FDB45,20.85
NCK19,9.8
FDV51,16.35
FDZ35,9.6
FDV59,13.35
DRH39,20.7
FDU55,16.2
NCO43,5.5
FDQ07,15.1
FDF28,15.7
FDM01,7.895
FDR24,17.35
NCY18,7.285
NCY30,20.25
DRI37,15.85
FDL27,6.17
NCO30,19.5
NCB07,19.2
FDX25,16.7
FDP59,20.85
FDR59,14.5
FDT27,11.395
DRI01,7.97
FDU09,7.71
FDH26,19.25
FDH40,11.6
DRN47,12.1
NCO17,10.0
FDX60,14.35
FDT22,10.395
FDG45,8.1
FDD44,8.05
FDS15,9.195
FDL51,20.7
FDL32,15.7
NCA54,16.5
FDX09,9.0
FDO51,6.785
FDW49,19.5
FDB27,7.575
FDF45,18.2
FDV02,16.75
FDY28,7.47
FDP51,13.85
FDL52,6.635
FDB34,15.25
FDC50,15.85
FDT57,15.2
FDY32,7.605
FDW07,18.0
NCF18,18.35
FDN58,13.8
FDG35,21.2
FDY34,10.5
NCE19,8.97
NCJ29,10.6
FDT59,13.65
NCX41,19.0
FDF22,6.865
FDM60,10.8
FDR02,16.7
FDS48,15.15
NCZ42,10.5
FDZ38,17.6
NCB55,15.7
FDC15,18.1
FDF11,10.195
FDB44,6.655
NCC06,19.0
FDB17,13.15
FDW43,20.1
FDA27,20.35
FDN32,17.5
FDZ27,7.935
FDU01,20.25
FDF10,15.5
DRI13,15.35
NCR05,10.1
FDI35,14.0
FDX08,12.85
NCJ18,12.35
FDJ41,6.85
FDU08,10.3
DRH15,8.775
NCV17,18.85
FDE24,14.85
FDH53,20.5
FDZ13,7.84
FDW28,18.25
FDU46,10.3
NCE43,12.5
NCC42,15.0
FDQ20,8.325
FDA13,15.85
FDZ15,13.1
NCV42,6.26
DRI51,17.25
FDO28,5.765
NCS54,13.6
FDH16,10.5
FDR52,12.65
NCH06,12.3
FDA36,5.985
FDT09,15.15
FDU25,12.35
FDK41,14.3
FDM24,6.135
FDQ45,9.5
DRK59,8.895
FDR21,19.7
FDT44,16.6
FDH57,10.895
NCP42,8.51
FDN09,14.15
FDP32,6.65
FDV57,15.25
FDA40,16.0
NCG42,19.2
NCK54,12.15
FDE16,8.895
FDB15,10.895
FDC40,16.0
FDK24,9.195
FDW31,11.35
NCM07,9.395
FDQ37,20.75
FDK28,5.695
FDR43,18.2
FDL48,19.35
DRL23,18.35
NCX42,6.36
DRD37,9.8
FDD08,8.3
NCN18,8.895
NCI29,8.6
FDU52,7.56
FDN16,12.6
NCM55,15.6
FDR49,8.71
FDA16,6.695
FDO04,16.6
NCL19,15.35
FDR60,14.3
FDG53,10.0
DRG01,14.8
FDI27,8.71
FDD29,12.15
NCR41,17.85
FDW44,9.5
FDU21,11.8
FDI14,14.1
FDN39,19.35
FDT31,19.75
FDJ14,10.3
FDU38,10.8
FDS32,17.75
DRH13,8.575
DRF03,19.1
FDJ20,20.7
FDX22,6.785
DRM11,6.57
FDL25,6.92
FDT08,13.65
FDO22,13.5
NCM41,16.5
FDJ21,16.7
FDC53,8.68
FDQ09,7.235
DRE25,15.35
FDL08,10.8
FDW03,5.63
FDC17,12.15
FDE34,9.195
FDP10,19.0
FDZ22,9.395
NCF31,9.13
FDG14,9.0
NCH30,17.1
FDR36,6.715
NCJ30,5.82
FDR08,18.7
FDU04,7.93
NCQ50,18.75
DRK37,5.0
FDK48,7.445
FDV58,20.85
FDZ52,19.2
NCF42,17.35
FDQ48,14.3
FDR58,6.675
NCE07,8.18
FDK14,6.98
NCQ41,14.8
FDX46,12.3
FDC35,7.435
FDH45,15.1
FDX33,9.195
DRJ35,10.1
FDO19,17.7
FDP13,8.1
FDP24,20.6
NCQ42,20.35
FDU14,17.75
FDT32,19.0
FDK20,12.6
FDU13,8.355
FDE58,18.5
FDZ01,8.975
FDM08,10.1
FDS58,9.285
FDZ26,11.6
FDY51,12.5
FDL34,16.0
DRG39,14.15
NCG43,20.2
FDT01,13.65
DRF01,5.655
FDF53,20.75
FDS45,5.175
FDR20,20.0
FDD38,16.75
DRF15,18.35
FDH32,12.8
NCJ42,19.75
NCL18,18.85
FDW22,9.695
FDE32,20.7
FDJ08,11.1
FDG38,8.975
NCE31,7.67
FDS19,13.8
FDU11,4.785
FDL02,20.0
DRK23,8.395
FDO27,6.175
FDB16,8.21
NCB18,19.6
NCL53,7.5
FDR16,5.845
NCQ05,11.395
FDF44,7.17
FDK15,10.8
FDU32,8.785
FDG09,20.6
FDE39,7.89
FDU56,16.85
NCH55,16.35
NCQ02,12.6
NCU17,5.32
FDV37,13.0
NCI43,19.85
NCQ53,17.6
NCT18,14.6
FDM14,13.8
FDX57,17.25
NCV05,10.1
FDX39,14.3
FDA23,9.8
NCV06,11.3
DRI39,13.8
FDH21,10.395
FDR26,20.7
FDG21,17.35
NCQ38,16.35
FDN20,19.35
NCN29,15.2
FDI28,14.3
FDZ28,20.0
FDU10,10.1
FDS28,8.18
FDJ03,12.35
FDQ51,16.0
NCK06,5.03
FDY09,15.6
FDA10,20.35
FDO34,17.7
FDF40,20.25
FDY02,8.945
FDB59,18.25
FDO15,16.75
FDB38,19.5
FDY26,20.6
DRE13,6.28
FDD50,18.85
FDV56,16.1
NCR29,7.565
FDZ04,9.31
FDU16,19.25
FDV07,9.5
DRC12,17.85
DRK39,7.02
DRB25,12.3
FDK26,5.46
FDM52,15.1
NCO06,19.25
FDK34,13.35
FDO45,13.15
FDF08,14.3
FDH58,12.3
FDS03,7.825
FDE02,8.71
NCZ06,19.6
FDR23,15.85
FDY35,17.6
FDG44,6.13
FDQ23,6.55
FDY22,16.5
NCN41,17.0
FDH20,16.1
FDB09,16.25
FDA09,13.35
FDP03,5.15
FDO13,7.865
DRD49,9.895
NCP50,17.35
DRP35,18.85
FDN23,6.575
FDS44,12.65
NCI54,15.2
FDA21,13.65
FDE35,7.06
DRJ24,11.8
NCO54,19.5
FDV12,16.7
FDQ31,5.785
DRG15,6.13
FDT21,7.42
FDT10,16.7
FDX26,17.7
FDN02,16.5
DRE27,11.85
FDS27,10.195
FDL46,20.35
NCV30,20.2
FDA51,8.05
FDM46,7.365
FDK02,12.5
FDJ57,7.42
NCB31,6.235
FDT50,6.75
NCY41,16.75
FDJ60,19.35
FDS21,19.85
FDS47,16.75
DRM48,15.2
FDW46,13.0
FDW27,5.86
FDU40,20.85
FDX35,5.035
FDD51,11.15
FDY27,6.38
NCN06,8.39
FDR57,5.675
FDR19,13.5
FDJ33,8.895
FDA52,16.2
FDR27,15.1
NCK42,7.475
NCI31,20.0
FDX16,17.85
NCA05,20.75
DRG51,12.1
NCR30,20.6
DRM37,15.35
FDN56,5.46
FDC09,15.5
NCZ41,19.85
FDP19,11.5
DRL11,10.5
FDO36,19.7
FDF21,10.3
FDS51,13.35
FDE45,12.1
FDX50,20.1
FDQ21,21.25
DRL37,15.5
FDZ39,19.7
FDH10,21.0
NCO18,13.15
FDD05,19.35
FDZ23,17.75
FDX27,20.7
FDR14,11.65
FDO01,21.1
FDZ56,16.25
NCL55,12.15
FDD59,10.5
DRF23,4.61
FDT49,7.0
FDH22,6.405
FDT34,9.3
FDB39,11.6
FDQ22,16.75
NCN43,12.15
FDG57,14.7
NCC43,7.39
FDP01,20.75
FDF52,9.3
FDZ33,10.195
FDW56,7.68
FDC26,10.195
FDF34,9.3
FDD04,16.0
NCJ31,19.2
FDO57,20.75
NCY05,13.5
DRK11,8.21
NCL30,18.1
DRJ39,20.25
FDZ44,8.185
FDV46,18.2
DRG03,14.5
FDU37,9.5
FDI57,19.85
FDM45,8.655
FDB26,14.0
NCN26,10.85
FDO38,17.25
FDG31,12.15
FDI45,13.1
FDE17,20.1
NCG06,16.35
NCP29,8.42
FDM02,12.5
FDR46,16.85
FDQ49,20.2
FDS16,15.15
FDU15,13.65
FDO09,13.5
FDB40,17.5
DRN11,7.85
FDE22,9.695
FDF04,17.5
FDE41,9.195
NCD54,21.1
FDN34,15.6
FDL39,16.1
FDH33,12.85
FDA34,11.5
DRH23,14.65
FDD21,10.3
FDK60,16.5
FDY12,9.8
FDP11,15.85
NCF54,18.0
FDV43,16.0
DRE12,4.59
NCW42,18.2
FDI41,18.5
FDV22,14.85
FDQ46,7.51
FDC44,15.6
FDB22,8.02
FDV23,11.0
FDL33,7.235
FDW48,18.0
NCM06,7.475
FDT46,11.35
FDT38,18.7
FDO40,17.1
FDP12,9.8
FDG16,15.25
FDY11,6.71
FDL38,13.8
FDY60,10.5
FDW40,14.0
FDY08,9.395
NCM42,6.13
NCD07,9.1
FDD09,13.5
DRH59,10.8
DRN36,15.2
DRA24,19.35
FDG34,11.5
FDK22,9.8
FDO33,14.75
FDS10,19.2
FDU34,18.25
FDA26,7.855
FDP38,10.1
FDA50,16.25
FDY10,17.6
FDT19,7.59
NCV54,11.1
FDA28,16.1
FDB05,5.155
FDY52,6.365
FDR48,11.65
FDY15,18.25
FDM51,11.8
FDW09,13.65
FDV44,8.365
FDZ47,20.7
NCP43,17.75
FDL26,18.0
DRM35,9.695
DRD15,10.6
FDV04,7.825
NCN05,8.235
FDJ02,17.2
NCK17,11.0
FDO58,19.6
FDG33,5.365
NCZ05,8.485
NCP54,15.35
FDV01,19.2
FDF57,14.5
FDA02,14.0
DRJ37,10.8
NCP55,14.65
FDK38,6.65
NCZ30,6.59
DRY23,9.395
NCG19,20.25
FDQ01,19.7
FDL44,18.25
DRM23,16.6
NCE18,10.0
DRZ24,7.535
FDT48,4.92
DRG11,6.385
FDP60,17.35
FDE05,10.895
FDC32,18.35
FDJ22,18.75
NCH18,9.3
DRC13,8.26
FDG47,12.8
NCT05,10.895
FDN50,16.85
FDU60,20.0
FDX02,16.0
DRF27,8.93
FDQ59,9.8
NCZ53,9.6
FDD34,7.945
FDY43,14.85
FDG46,8.63
